"IIT Gandhinagar Mathematics Discipline Seminar Series to host a talk by Professor Chandan S. Dalawat from HRI Allahabad.
Title - Solvable Primitive Extensions
Date & Time: March 3, 2017. 4:00 - 5:00 PM
Venue: AB 7/209
#iitgntalks",18,"Commodore Odakkal Johnson, a Maritime Professional for over 34 years and the Curator at Maritime History Society, Mumbai, will be visiting IIT Gandhinagar on March 22, 2017 to deliver a talk on 'India's Naval Contribution during WW I & II'
Venue: AB 1/001
Time: 4:00 PM
IIT Gandhinagar Contact: Col Sarvjeet Kapoor
#iitgntalks #iitgn",28,"Snapshots from the inaugural ceremony of CLSTL 2017, the International Conference on Changing Landscape of Science & Technology Libraries. More details about the conference can be found on their website:

http://events.iitgn.ac.in/2017/CLSTL/

Watch this space for more updates in due course!",119,nan,2
,,,,,,,
"IIT Gandhinagar is organizing a conference on “Changing Landscape of Science & Technology Libraries” from March 2 - 4 March, 2017. The aim of the objective is to bring together library professionals and researchers from India and abroad to exchange their innovative ideas, new initiatives, experiences, research work, best practices etc and to understand how the Science & Technology (S & T) libraries are transforming themselves in the midst of rapid technology developments. The conference would also be addressing current issues, recent developments and their impact,and future challenges to prepare science and technology libraries for the future.
For further details visit: http://ow.ly/AOpK309qk8x",18,"Campus Feature: Fibre Optic Backbone

The entire campus IT services and ELV services are built upon a fibre-optic cable system referred to as the fibre-optic backbone. The fibre-optic backbone not only ensures blazing fast internet access, but also serves as a single network onto which all other services such as IP Telephony, CCTV and Security System, Fire Alarm System, Access Control System, a state-of- art Building Management System can plug into. The fibre-optic backbone thus forms the foundation of a Smart Campus and future IT services can plug into the same framework.",54,"Snapshots from the first edition of Research Opportunities in Computer Science (ROCS) 2017 held on the 24th of February, 2017.",142,nan,1
,,,,,,,
"Dr. Aron Wall from the Institute of Advanced Study, Princeton will be visiting IIT Gandhinagar from February 8 - 10, 2017. He will deliver a talk on February 10, 2017.
Talk Title: ""What prevents negative energy from violating causality?""
Time: 4:30PM - 5:30PM
Venue: AB 6/203
IIT Gandhinagar Contact: Professor Sudipta Sarkar 
#iitgntalks",17,"Professor Andrew Whittaker from University at Buffalo (UB) is visiting IIT Gandhinagar on Wednesday, March 22, 2017. He will be delivering talks according to the schedule below.
Title: Seismic behavior of SC wall piers under in-plane and out-of-plane loadings
Time: 2:00 - 3:00 PM
Venue: AB 7/201

He will also hold a session on graduate studies at UB following the technical presentation per the schedule mentioned.
Title: Graduate studies in engineering at UB
Date: March 22 (Wednesday)
Time: 3:00 PM
Venue: AB 7/201",32,"Campus Feature: Mango Trees

It looks like we are poised for a good Mango season with the 19 fully grown Mango trees on campus showing a healthy bloom of flowers.
Any suggestions about how best to use these productively? These mangoes appear to be of a ‘khatta’ variety, and are perhaps better suited for processed mango items such as achar, panna, etc.",85,nan,2
,,,,,,,
"Talk Title - Proteins therapeutics: present and future potential
Speaker: Dr. Sridevi Kambhampati, Vice President, Intas Biopharma, Ahmedabad
Date: February 7, 2017
Time: 3:00PM - 4:00PM
Venue: AB 6/202
IIT Gandhinagar Contact: Professor Sriram Kanvah
#iitgntalks",6,"Wednesday Video: http://ow.ly/jBGS309V8vK 

The e-learning portal of the Swachh Bharat Mission features in-depth documentaries focusing on various leading practices in sanitation. The series on Municipal Solid Waste Management has a chapter on Biomethanation and Composting technologies which are being used at various bulk generators for the management of wet waste. The documentary features efforts at IIT Gandhinagar, along with the Art of Living International Center and the Vijay Nagar Society. 
On the IIT Gandhinagar campus, waste segregation is practiced in both the residential and the academic areas. Apart from biomedical or lab waste, everything else is typically classified as organic, recyclable or meant for the landfills. Color-coded dustbins and posters with detailed examples help users identify the right disposal option. As you can see in the video, our in-house biogas plant generates energy and manure from the organic waste. Combined with recycling and other measures, our campus presently diverts about 85% of the waste from the landfills. 

To see all the documentaries compiled about leading practices in the sanitation sector by the Swachh Bharat Mission, visit the e-learning portal here: http://ow.ly/CpfS309V8sy 

Developing a green and sustainable campus was a core guiding principle when IIT Gandhinagar set out to develop its campus. Our campus is the first to be awarded a 5-star GRIHA LD rating (the highest possible). Find out more about the green initiatives employed on our campus at: http://ow.ly/JkP8309V8tt",24,"The Summer Research Internship Programme at IIT Gandhinagar is now open. Details about the program, along with the list of projects, are available from the website:

http://sites.iitgn.ac.in/srip/

The deadline for applications is 5th March, 2017.",99,nan,0
,,,,,,,
"The campus development awards for outstanding contributions to campus development related activities were presented in today's seminar. The following 12 community members received the awards for their extra-ordinary contributions.
1. Mr Chinmay Ajnadkar (IITGN Alumnus)
2. Ms Jagruti Ben (Teacher for Construction Workers’ Children)
3. Mr Dinesh Borse (IITGN Student)
4. Ar Dhara Mehta Dalal (Architect with Mitimitra Consultants)
5. Mr Chandrakant Mehta (Relcon Subconsultant)
6. Mr A. L. Patel (CPWD)
7. Mr Nilesh Paseriya (HEC Infra Project)
8. Ms Shantu Pindoriya (Organic Farm Coordinator)
9. Mr Gaurav Shukla (IITGN Staff)
10. Mr K. R. Singh (CPWD)
11. Mr Nand Lal Vishwakarma (IITGN Staff)
12. Mr P. H. Yadav (Horticulture Staff) 

 IIT Gandhinagar family congratulates the winners of campus development awards!",5,"We are pleased to announce that IIT Gandhinagar is hosting the ACM India Summer School on Graph Theory and Graph Algorithms. This is a three-week long program on our campus from 26th June, 2017 to 26th July, 2017. Please register for the school before the 31st of March. The list of shortlisted candidates will be published on our website by the end of April.

Find out more at: http://ow.ly/gsAD309V7hD 
Queries can be directed to: cse+acmschool@iitgn.ac.in",41,"Campus Feature:

Many of you might have glanced at the face of Lal Minar and wondered what the pattern is all about. After much debate about whether it should be IIT Gandhinagar logo or a national symbol, the design team came up with a suggestion for an abstract design loosely inspired from what many believe to be an ancient sundial in India that can read the time to an accuracy of a minute. Did you know that the intricate design thus created and embossed in concrete is quite possibly the largest concrete embossing in India and that too at that height?",108,"http://economictimes.indiatimes.com/news/economy/indicators/bharat-forges-babasaheb-kalyani-bullish-on-manufacturing-says-make-in-india-showing-results/articleshow/48309114.cms

#iit #iitgn #iitgandhinagar  #engineering #convocation #makeinindia",3
,,,,,,,
"The campus development awards for outstanding contributions to campus development related activities were presented in today's seminar. The following 12 community members received the awards for their extra-ordinary contributions.
1. Mr Chinmay Ajnadkar (IITGN Alumnus)
2. Ms Jagruti Ben (Teacher for Construction Workers’ Children)
3. Mr Dinesh Borse (IITGN Student)
4. Ar Dhara Mehta Dalal (Architect with Mitimitra Consultants)
5. Mr Chandrakant Mehta (Relcon Subconsultant)
6. Mr A. L. Patel (CPWD)
7. Mr Nilesh Paseriya (HEC Infra Project)
8. Ms Shantu Pindoriya (Organic Farm Coordinator)
9. Mr Gaurav Shukla (IITGN Staff)
10. Mr K. R. Singh (CPWD)
11. Mr Nand Lal Vishwakarma (IITGN Staff)
12. Mr P. H. Yadav (Horticulture Staff) 

 IIT Gandhinagar family congratulates the winners of campus development awards!",8,"Wednesday Video: http://ow.ly/HZ8Q309H959 
Watch out this video of the Public Talk by Nobel Laureate in Physiology or Medicine,1989, Professor Harold E. Varmus on ""How cells become cancers (and what we do about it)?"" held on Januray 11, 2017 at IIT Gandhinagar.",27,"Campus Feature: HUDCO Design Awards 2016

The Academic Complex of IIT Gandhinagar  campus bagged the First Prize at the HUDCO Design Awards 2016 in the category of “Green Buildings”. The contributions of Mitimitra Consultants Pvt Ltd, dbHMS Consultants, CPWD and numerous people within and outside the IITGN campus in developing this unique and green academic complex, is gratefully acknowledged. For more details you can click here: http://ow.ly/cbhi308WPUD",86,"http://www.thehindu.com/business/make-in-india-drive-showing-results-kalyani/article7490301.ece
#iit #iitgn #engineering #convocation",2
,,,,,,,
"The campus development awards for outstanding contributions to campus development related activities were presented in today's seminar. The following 12 community members received the awards for their extra-ordinary contributions.
1. Mr Chinmay Ajnadkar (IITGN Alumnus)
2. Ms Jagruti Ben (Teacher for Construction Workers’ Children)
3. Mr Dinesh Borse (IITGN Student)
4. Ar Dhara Mehta Dalal (Architect with Mitimitra Consultants)
5. Mr Chandrakant Mehta (Relcon Subconsultant)
6. Mr A. L. Patel (CPWD)
7. Mr Nilesh Paseriya (HEC Infra Project)
8. Ms Shantu Pindoriya (Organic Farm Coordinator)
9. Mr Gaurav Shukla (IITGN Staff)
10. Mr K. R. Singh (CPWD)
11. Mr Nand Lal Vishwakarma (IITGN Staff)
12. Mr P. H. Yadav (Horticulture Staff) 

 IIT Gandhinagar family congratulates the winners of campus development awards!",19,"The inspiring NEEV IITGN initiative captured eloquently on video! 

Anyone who wants to be involved in any way, large or small - please do get in touch with neev@iitgn.ac.in.",21,"IIT Gandhinagar hosted the ninth Faculty and Staff picnic at Aranya Uddhyan, Gandhinagar on Sunday. It was a day full of games, musical performances, mouth watering lunch, a bird-identifying walk in the jungle, visit to Sabarmati river bank and an interesting crossword competition based on IITGN Family. 

Mithun Radhakrishna gave a Mandolin performance, and there were vocals by Atul Dixit, Daksh, Umashankar and others.

The IITGN crossword competition first prize went to Babloo Sharma, Suganya Arumugam, Renu Mittal, Arnapurna Rath and Amit Arora. First runners up : Deepak Agnihotri, Rajendra Vaishnav, Nand Lal Vishwakarma, Narendra Solanki, Gaurav Kumar Singh. 
Second runners up : Surya Pratap Mehrotra, Sarvjeet Kapoor, Chandrakumar Appayee, Biresh Chaubey, Umashankar Singh.

Pictures Courtesy: Dev Barbhaya",149,nan,1
,,,,,,,
"The campus development awards for outstanding contributions to campus development related activities were presented in today's seminar. The following 12 community members received the awards for their extra-ordinary contributions.
1. Mr Chinmay Ajnadkar (IITGN Alumnus)
2. Ms Jagruti Ben (Teacher for Construction Workers’ Children)
3. Mr Dinesh Borse (IITGN Student)
4. Ar Dhara Mehta Dalal (Architect with Mitimitra Consultants)
5. Mr Chandrakant Mehta (Relcon Subconsultant)
6. Mr A. L. Patel (CPWD)
7. Mr Nilesh Paseriya (HEC Infra Project)
8. Ms Shantu Pindoriya (Organic Farm Coordinator)
9. Mr Gaurav Shukla (IITGN Staff)
10. Mr K. R. Singh (CPWD)
11. Mr Nand Lal Vishwakarma (IITGN Staff)
12. Mr P. H. Yadav (Horticulture Staff) 

 IIT Gandhinagar family congratulates the winners of campus development awards!",11,"Wednesday Video: http://ow.ly/3q6N309sQGC 

We continue our Wednesday Video series with videos from the Enigma of Nature seminar. Watch Prof. Jain's inaugural address for the event. The complete playlist is available at: http://ow.ly/SzAJ309sQLA",25,"The ceremonial naming of the 600-seat auditorium of IIT Gandhinagar as 'Jasubhai Memorial Auditorium' took place on the  evening of 10th February 2017. The event coincided with the birth anniversary of Late Jasubhai Shah. Mr. B. Narayan, Group President, Procurement& Projects, Reliance Industries Limited, was the Chief Guest on this occasion. Mr. Maulik Jasubhai Shah delivered the address on behalf of Jasubhai group. The Minister of Railways, Shri Suresh Prabhu sent a video message recounting the memory of Late Jasubhai, emphasizing the significance of naming the IIT Gandhinagar auditorium as 'Jasubhai Memorial Auditorium'. Professor Sudhir K Jain addressed the audience highlighting the significance of philanthropic contributions to academic institutions. 

Members of the Indian National Youth Orchestra performed during the evening. 

Pictures Courtesy: Jyotirban Dey & Dev Barbhaya",170,"http://timesofindia.indiatimes.com/home/education/news/Students-learn-global-health-and-development-at-IIT-Gandhinagar/articleshow/47646518.cms

#iit #iitgn #iitgandhinagar #engineering #healthdevelopment",3
,,,,,,,
"The campus development awards for outstanding contributions to campus development related activities were presented in today's seminar. The following 12 community members received the awards for their extra-ordinary contributions.
1. Mr Chinmay Ajnadkar (IITGN Alumnus)
2. Ms Jagruti Ben (Teacher for Construction Workers’ Children)
3. Mr Dinesh Borse (IITGN Student)
4. Ar Dhara Mehta Dalal (Architect with Mitimitra Consultants)
5. Mr Chandrakant Mehta (Relcon Subconsultant)
6. Mr A. L. Patel (CPWD)
7. Mr Nilesh Paseriya (HEC Infra Project)
8. Ms Shantu Pindoriya (Organic Farm Coordinator)
9. Mr Gaurav Shukla (IITGN Staff)
10. Mr K. R. Singh (CPWD)
11. Mr Nand Lal Vishwakarma (IITGN Staff)
12. Mr P. H. Yadav (Horticulture Staff) 

 IIT Gandhinagar family congratulates the winners of campus development awards!",13,"Wednesday Video: http://ow.ly/I2li309eLks 

We are pleased to share the video of the ceremonial naming of the 600-seat auditorium of IIT Gandhinagar as 'Jasubhai Memorial Auditorium', which took place on the evening of 10th February 2017. 

On this occasion, Mr. Maulik Jasubhai Shah, Mr. B. Narayan (Reliance Industries Limited), and Prof. Sudhir K Jain addressed the audience. The Minister of Railways, Shri Suresh Prabhu, also sent a video message.

The recording also features the magnificent musical performance by the Indian National Youth Orchestra!",21,"Applications are invited for admissions to Masters and Doctoral Programs in disciplines across Engineering, Sciences, Humanities & Social Sciences.

For details please visit: http://ow.ly/KHdx308KAiT",97,nan,1
,,,,,,,
"The campus development awards for outstanding contributions to campus development related activities were presented in today's seminar. The following 12 community members received the awards for their extra-ordinary contributions.
1. Mr Chinmay Ajnadkar (IITGN Alumnus)
2. Ms Jagruti Ben (Teacher for Construction Workers’ Children)
3. Mr Dinesh Borse (IITGN Student)
4. Ar Dhara Mehta Dalal (Architect with Mitimitra Consultants)
5. Mr Chandrakant Mehta (Relcon Subconsultant)
6. Mr A. L. Patel (CPWD)
7. Mr Nilesh Paseriya (HEC Infra Project)
8. Ms Shantu Pindoriya (Organic Farm Coordinator)
9. Mr Gaurav Shukla (IITGN Staff)
10. Mr K. R. Singh (CPWD)
11. Mr Nand Lal Vishwakarma (IITGN Staff)
12. Mr P. H. Yadav (Horticulture Staff) 

 IIT Gandhinagar family congratulates the winners of campus development awards!",9,"The Discipline of Computer Science and Engineering at IIT Gandhinagar is organizing a one-day workshop on Research Opportunities in Computer Science on 24th February 2017 at the IIT Gandhinagar Campus.
The program features talks from the faculty of the CSE discipline highlighting major research trends in various areas of computer science and engineering, including algorithms, complexity theory, machine learning, game theory, mechanism design, data science and computer architecture and systems. 
The event is free to attend and will have various opportunities for informal interactions with faculty and students of CSE and related disciplines at IIT Gandhinagar. 

Register before the 20th of February to join us: 
http://ow.ly/Kaat3093Lry 
http://ow.ly/Rmqt3093Lul",35,"Campus Feature: Scenic Drive

The campus has a number of interesting natural features including the river, deep ravines, a couple of lakes and neem tree plantations. The idea behind the formal entrance, also referred to as the scenic drive, is that a visitor should ‘experience’ the natural features of the campus and then dramatically come across the main academic area. While the scenic drive is not yet fully commissioned, it is a nice place for a morning or evening walk and is a ‘must see’ on campus.",101,nan,2
,,,,,,,
"The campus development awards for outstanding contributions to campus development related activities were presented in today's seminar. The following 12 community members received the awards for their extra-ordinary contributions.
1. Mr Chinmay Ajnadkar (IITGN Alumnus)
2. Ms Jagruti Ben (Teacher for Construction Workers’ Children)
3. Mr Dinesh Borse (IITGN Student)
4. Ar Dhara Mehta Dalal (Architect with Mitimitra Consultants)
5. Mr Chandrakant Mehta (Relcon Subconsultant)
6. Mr A. L. Patel (CPWD)
7. Mr Nilesh Paseriya (HEC Infra Project)
8. Ms Shantu Pindoriya (Organic Farm Coordinator)
9. Mr Gaurav Shukla (IITGN Staff)
10. Mr K. R. Singh (CPWD)
11. Mr Nand Lal Vishwakarma (IITGN Staff)
12. Mr P. H. Yadav (Horticulture Staff) 

 IIT Gandhinagar family congratulates the winners of campus development awards!",17,"Wednesday Videos are back! The videos of lectures, seminars, public talks and other events happening over the last few months at IIT Gandhinagar will be shared here every week.

Presenting the video of the Public Talk by Nobel Laureate in Physiology or Medicine, Professor Randy Schekman on ""How cells exports proteins"" held on Januray 11, 2017 at IIT Gandhinagar. For the complete lecture follow: http://ow.ly/mDs53091bRQ",36,"IIT Gandhinagar family congratulates Professor Nithin V. George for being awarded Indo-Australia Early & Mid-Career Researchers Fellowship by Indian National Science Academy (INSA) for conducting advance research on the project entitled,’’Design and Implementation of acoustic beam forming systems in digital hearing aids’’ at the Curtin University, Australia.",109,The sole motto of IGNITE is to discover the best ideas from across the student and providing them the platform to develop and showcase their technical prowess.,1
,,,,,,,
"IIT Gandhinagar Mathematics Discipline Seminar Series to host a talk by Professor Ram N. Mohapatra from University of Central Florida.
Title - Advances in Frame Theory: Optimal Frames for Erasers
Date & Time: February 3, 2017. 4:00 - 5:00 PM
Venue: AB 7/209
#iitgntalks",6,"IIT Gandhinagar family congratulates Team ISRO - Indian Space Research Organisation for the launch of PSLV C37, 104 Satellite in one go! You make the nation proud!",75,"The campus development awards for outstanding contributions to campus development related activities were presented in today's seminar. The following 12 community members received the awards for their extra-ordinary contributions.
1. Mr Chinmay Ajnadkar (IITGN Alumnus)
2. Ms Jagruti Ben (Teacher for Construction Workers’ Children)
3. Mr Dinesh Borse (IITGN Student)
4. Ar Dhara Mehta Dalal (Architect with Mitimitra Consultants)
5. Mr Chandrakant Mehta (Relcon Subconsultant)
6. Mr A. L. Patel (CPWD)
7. Mr Nilesh Paseriya (HEC Infra Project)
8. Ms Shantu Pindoriya (Organic Farm Coordinator)
9. Mr Gaurav Shukla (IITGN Staff)
10. Mr K. R. Singh (CPWD)
11. Mr Nand Lal Vishwakarma (IITGN Staff)
12. Mr P. H. Yadav (Horticulture Staff) 

 IIT Gandhinagar family congratulates the winners of campus development awards!",85,"Title: Opportunities and Challenges of Building a World Class IIT from the Ground up: The IIT Gandhinagar Story

Started in 2008, IIT Gandhinagar provides a unique opportunity to Build a centre of excellence in research, teaching, and community engagement. The institute has already graduated three batch of students who have done Exceedingly well. One of the critical pillars of IITGN is its highly Accomplished faculty that the Institute has very successfully recruited. IITGN's five-week immersion foundation program, which focuses on creativity, Ethics, social engagement, physical fitness, leadership skills, seeks to tackle Some of the central weaknesses of incoming students. To promote critical Thinking and an appreciation of the interdisciplinary character of knowledge, Undergraduates (and MTech students) take almost 20% of the courses in the Humanities and the social sciences. The Institute places great emphasis on Globalization and diversity: nearly a third of IIT Gandhinagar's undergraduates Receive study abroad experiences and almost 15 percent of its faculty every Semester is visiting faculty, both from India and abroad. The Institute has Eliminated departmental silos and developed distinctive centers and programs Such as Archeological Sciences, Cognitive Sciences, Safety, and Society and Culture. A number of community outreach programmes at IITGN, including Nyasa For welfare of construction workers, have been well appreciated and recognized. The talk will highlight the innovations in curriculum and governance Implemented at IITGN, and will also cover some of the unique oppurtunities that IITGN offers to aspiring faculty candidates.

Brief Bio-data of Prof Jain
Prof Sudhir K Jain received his Bachelor of Engineering from University of Roorkee in 1979, Master of Science from California Institute of Technology (Caltech), Pasadena, USA in 1980, and Doctor of Philosophy, also from Caltech, In 1983. He joined Civil Engineering faculty at IIT Kanpur in 1984 and in June 2009 took leave from IIT Kanpur in order to move over to IIT Gandhinagar as its Director. While at IIT Kanpur, Professor Jain taught and researched in Earthquake/ structural engineering, mentored young researchers, trained a large Number of professional engineers, and provided consulting for numerous major Engineering projects. He set up the National Information Centre of Earthquake Engineering (www.nicee.org) at IITK with a substantial endowment, and was National Coordinator (2003-2007)  for National Programme on Earthquake Engineering Education (www.nicee.org/npeee) funded by MHRD.
 
Professor Jain has been Dean, Resource Planning and Generation (2005-2008); Head of Civil Engineering Department (2001-2003); Coordinator, CDTE/QIP/CEP (1997-2000); and Chairman, Student Placement Committee (1995-96) at IIT Kanpur. He is currently (2014-2018) President of the International Association for Earthquake Engineering. Professor Jain was elected a Fellow of the Indian National Academy of Engineering in 2003 and was conferred Life Membership by The New Zealand Society for Earthquake Engineering (NZSEE) in 2013.",2
,,,,,,,
"Two day seminar on the ""Enigma of Nature/ Enigma of the Non-Human""  to be held at IIT Gandhinagar from 27th January to  28th January 2017. The seminar is being organized in collaboration with Balvant Parekh Centre For General Semantics.

Keynote Speaker.
Professor Nikolas Kompridis, Research Professor in Philosophy and Political Thought, and Director Institute of Social Justice, Australian Catholic University.
Title of Keynote Address: “The Enigma of Agency: Human and Non-Human”, 27th January 2017, 11 am, AB 6/202. (Open to Public). 

Invited Speakers. 
Professor Bijoy H Boruah (Professor of Philosophy, Department of Humanities and Social Sciences, IIT Delhi), Professor Koshy Tharakan (Department of Philosophy, Goa University), Professor E.V.Ramakrishnan (UGC Professor Emeritus at Central University of Gujarat, School of Language, Literature and Culture Studies), and Professor Angus McBlane (Visiting Assistant Professor, Humanities and Social Sciences, IIT Gandhinagar). 

Description of the Invited Talks can be accessed at:  http://events.iitgn.ac.in/2017/enigma-of-nature/people. 

Complete Schedule may be accessed at: http://events.iitgn.ac.in/2017/enigma-of-nature/nc-cms/content/upload/Latest%20Enigma%20Schedule_23.01.17%20%20.pdf

 IIT Gandhinagar Contact: Professor Arnapurna Rath & Professor Jaison Manjaly

#iitgntalks",17,"Cisco Supports Research on Online Analytics for Complex Systems at IIT Gandhinagar 

Cisco is empowering research on online analytics for complex systems at IIT Gandhinagar through a generous research grant. Professor Anirban Dasgupta from the Computer Science and Engineering discipline at IIT Gandhinagar is the principal investigator of this grant. The support from CISCO amounts to 75,000 USD and the project will be executed over a period of two years. 

According to Professor Dasgupta, ""With the proliferation of sensors, it is now fairly common to use data collected from such sensors in order to track the health of complex engineered systems that are pervasive in various domains. Examples of such systems are large datacenters that utilize thousands of machines, automated manufacturing, nuclear plants, as well as complex ad-serving software e.g. the ones used at Google and Microsoft. However, in order to truly understand the health of the system, and to figure out whether the current behavior of the system is bordering on anomaly, it is essential to take a global view of the data rather than look at individual sensors. Understanding the interaction of the different sensors using statistical models can lead to improvements in diverse problems of immense practical significance, e.g. preventing cascading failures by triggering appropriate safeguards. Such decisions also need to be taken in real-time.""

 The ongoing research supported by CISCO aims to develop techniques for such decision-making, which involves borrowing techniques from streaming algorithms, as well as statistical machine learning models. #iitgnfacultyachievements #iitgnfaculty #NeverBetter",57,"IIT Gandhinagar family congratulates Professor Arup Chakraborty for receiving a grant from the Science and Engineering Research Board (SERB) for the project entitled, ""Real-time concentration measurement of methane, water vapour, carbon dioxide and carbonmonoxide in ethanol autothermal reforming using tunable diode laser spectroscopy"".",93,nan,2
,,,,,,,
